web_scraper_order,web_scraper_start_url,product_link,product_link-href,pagination,pagination-href,item_name,item_brand,item_price,item_description,item_id,item_materials
1762303564-22,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,REI Co-opMerino Wool Expedition Hiking Crew Socks,https://www.rei.com/product/165393/rei-co-op-merino-wool-expedition-hiking-crew-socks,,,REI Co-op   Merino Wool Expedition Hiking Crew Socks,REI Co-op,$22.95,"Hike cold, snowy trails with confidence in the REI Co-op Expedition Merino Hiking crew socks. Their thick cushioning keeps feet warm and the wool blend is naturally breathable and odor-resistant.",#165393,79% merino wool/20% nylon/1% LYCRA spandex
1762303567-23,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,REI Co-opSahara T-Shirt - Men's,https://www.rei.com/product/228372/rei-co-op-sahara-t-shirt-mens,,,REI Co-op   Sahara T-Shirt - Men's,REI Co-op,$25.93,"We've remade one of our favorite hiking staples with partially recycled fabric. Designed for the trail, the men's REI Co-op Sahara T-shirt stretches, wicks sweat and shades you from the day's rays.",#228372,55% polyester/37% recycled polyester/8% spandex (bluesign approved)
1762303569-24,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,REI Co-opMerino Wool Midweight Hiking Crew Socks,https://www.rei.com/product/165403/rei-co-op-merino-wool-midweight-hiking-crew-socks,,,REI Co-op   Merino Wool Midweight Hiking Crew Socks,REI Co-op,$19.95,"With allover cushioning, the REI Co-op Merino Wool Midweight hiking crew socks add a bit of warmth for cooler hikes—but they're still naturally breathable, moisture-wicking and odor-resistant.",#165403,81% merino wool/18% nylon/1% LYCRA spandex
1762303572-25,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,Free CountryTrail 2 Town Tights - Women's,https://www.rei.com/product/253534/free-country-trail-2-town-tights-womens,,,Free Country   Trail 2 Town Tights - Women's,Free Country,$39.73,Go from dirt to sidewalk and anywhere in between in the women's Free Country Trail 2 Town Tights. They have a water-repellent finish and UPF sun protection to shield you from the elements.,#253534,88% polyster/12% spandex
1762303575-26,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,MarmotAirExchange UPF 50 High-Neck Tank Top - Women's,https://www.rei.com/product/C04775/marmot-airexchange-upf-50-high-neck-tank-top-womens,,,Marmot   AirExchange UPF 50 High-Neck Tank Top - Women's,Marmot,$33.73,"This backpacking tank top wicks sweat and keeps the rays at bay for quick-drying, breathable comfort. UPF 50 helps block out the sun. This Marmot tank has a pack- and harness-friendly side-zip pocket.",#C04775,100% recycled polyester mesh
1762303577-27,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,REI Co-op650 Down Jacket - Men's,https://www.rei.com/product/221639/rei-co-op-650-down-jacket-mens,,,REI Co-op   650 Down Jacket - Men's,REI Co-op,$129.00,"Bundle up for chilly walks, crisp air and crunchy leaves in the REI Co-op men's 650 Down jacket. This everyday jacket boasts recycled materials to help you feel good in more ways than one.",#221639,Recycled ripstop nylon (bluesign approved)
1762303580-28,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,REI Co-opSahara Bucket Hat,https://www.rei.com/product/188551/rei-co-op-sahara-bucket-hat,,,REI Co-op   Sahara Bucket Hat,REI Co-op,$42.95,"Whether you're in the Sahara desert or a more moderate climate, it's good to have some shade. The REI Co-op Sahara bucket hat is a classic packable sun hat with a subtle venting system.",#188551,100% polyester (bluesign approved); Polyester mesh (bluesign approved)
1762303583-29,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,Mountain HardwearBasin Trek Pants - Men's,https://www.rei.com/product/247179/mountain-hardwear-basin-trek-pants-mens,,,Mountain Hardwear   Basin Trek Pants - Men's,Mountain Hardwear,$63.73,An afternoon loop or a rugged week under heavy loads—the men's Mountain Hardwear Basin Trek pants handles your hikes with durability and articulation for mobility and comfort on the move.,#247179,94% nylon/6% elastane stretch-woven plain weave
1762303586-30,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,REI Co-opMerino Wool Lightweight Hiking Crew Socks,https://www.rei.com/product/165398/rei-co-op-merino-wool-lightweight-hiking-crew-socks,,,REI Co-op   Merino Wool Lightweight Hiking Crew Socks,REI Co-op,$18.95,"The REI Co-op Merino Wool Lightweight hiking crew socks are our most popular summer-weight hiking socks for good reason—they're naturally breathable, sweat wicking, quick-drying and odor-resistant.",#165398,79% merino wool/20% nylon/1% LYCRA spandex
1762303588-31,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,WoolrichBig Woolly Mid-Calf Socks,https://www.rei.com/product/207651/woolrich-big-woolly-mid-calf-socks,,,Woolrich   Big Woolly Mid-Calf Socks,Woolrich,$18.73,"Warm, heavyweight merino wool socks, these Woolrich Big Woolly socks offer cozy warmth and hit mid-calf, making them ideal for wearing with your hiking and winter boots in cold weather.",#207651,68% merino wool/31% stretch nylon/1% Lycra spandex
1762303590-32,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,REI Co-opCOOLMAX EcoMade Midweight Hiking Crew Socks,https://www.rei.com/product/165388/rei-co-op-coolmax-ecomade-midweight-hiking-crew-socks,,,REI Co-op   COOLMAX EcoMade Midweight Hiking Crew Socks,REI Co-op,$17.95,"Hit the trail dressed for comfort in the REI Co-op COOLMAX EcoMade Midweight hiking crew socks. They're cushioned, breathable, absorbent and made using yarn from recycled water bottles.",#165388,80% COOLMAX EcoMade polyester/19% nylon/1% spandex
1762303594-33,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,REI Co-opSahara Long-Sleeve Solid Shirt - Women's,https://www.rei.com/product/234474/rei-co-op-sahara-long-sleeve-solid-shirt-womens,,,REI Co-op   Sahara Long-Sleeve Solid Shirt - Women's,REI Co-op,$16.83,"Our iconic hiking shirt, the women's REI Co-op Sahara Long-Sleeve Solid shirt is a durable button-front with roll-up sleeves and a vented back yoke panel to keep you cool during hot days on the trail.",#234474,94% nylon/6% spandex (bluesign approved); mesh panels: recycled polyester (bluesign approved)
1762303597-34,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,REI Co-opSahara Long-Sleeve T-Shirt - Men's,https://www.rei.com/product/228373/rei-co-op-sahara-long-sleeve-t-shirt-mens,,,REI Co-op   Sahara Long-Sleeve T-Shirt - Men's,REI Co-op,$27.93,"We remade one of our favorite hiking staples with partially recycled fabric. Designed for the trail, the men's REI Co-op Sahara long-sleeve stretches, wicks sweat and shades you from the day's rays.",#228373,55% polyester/37% recycled polyester/8% spandex (bluesign approved)
1762303600-35,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,REI Co-opCOOLMAX EcoMade Lightweight Hiking Crew Socks,https://www.rei.com/product/165384/rei-co-op-coolmax-ecomade-lightweight-hiking-crew-socks,,,REI Co-op   COOLMAX EcoMade Lightweight Hiking Crew Socks,REI Co-op,$17.95,"Designed to keep feet happy on the trail, REI Co-op COOLMAX EcoMade Light hiking crew socks wick sweat and breathe to help your feet keep their cool.",#165384,77% COOLMAX EcoMade polyester/22% nylon/1% spandex
1762303602-36,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,REI Co-opActive Pursuits T-Shirt - Men's,https://www.rei.com/product/228505/rei-co-op-active-pursuits-t-shirt-mens,,,REI Co-op   Active Pursuits T-Shirt - Men's,REI Co-op,$29.95,"The uphill battle is part of the fun of hiking and trail running. Get your mind open and body prepped for the work with the wicking, quick-drying REI Co-op Active Pursuits men's T-shirt.",#228505,92% polyester/8% spandex (bluesign approved)
1762303605-37,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,REI Co-opSahara Shade Long-Sleeve T-Shirt - Women's,https://www.rei.com/product/242891/rei-co-op-sahara-shade-long-sleeve-t-shirt-womens,,,REI Co-op   Sahara Shade Long-Sleeve T-Shirt - Women's,REI Co-op,$39.95,"Day hikes, backpacking trips or days spent on the water—the women's REI Co-op Sahara Shade long-sleeve T-shirt provides comfort under the sun with our beloved Sahara Shade UPF 50+ performance fabric.",#242891,92% polyester/8% spandex (bluesign approved)
1762303608-38,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,SmartwoolHike Classic Edition Full Cushion Solid Crew Socks,https://www.rei.com/product/238175/smartwool-hike-classic-edition-full-cushion-solid-crew-socks,,,Smartwool   Hike Classic Edition Full Cushion Solid Crew Socks,Smartwool,$17.73,Make sure your feet feel great through all your hiking adventures. Smartwool Hike Classic Edition Full Cushion Solid Crew socks use elasticized arch braces to secure the fit for all-day comfort.,#238175,67% merino wool/20% recycled nylon/11% nylon/1% elastane/1% polyester
1762303611-39,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,SmartwoolHike Light Cushion Hoo Who Crew Socks - Women's,https://www.rei.com/product/C02341/smartwool-hike-light-cushion-hoo-who-crew-socks-womens,,,Smartwool   Hike Light Cushion Hoo Who Crew Socks - Women's,Smartwool,$18.73,Gear up for a great hike with these Smartwool crew socks. Light cushioning along the bottom of the foot provides just the right amount of padding. Comfort welts make sure they stay put in your boots.,#C02341,57% merino wool/41% nylon/2% elastane
1762303614-40,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,REI Co-opMerino Wool Ultralight Crew Hiking Socks - Seconds - 2 Pairs,https://www.rei.com/product/254471/rei-co-op-merino-wool-ultralight-crew-hiking-socks-seconds-2-pairs,,,REI Co-op   Merino Wool Ultralight Crew Hiking Socks - Seconds - 2 Pairs,REI Co-op,$25.73,"Walk in comfort with this 2-pack of REI Co-op Merino Wool Ultralight Crew Hiking Socks. Cushioned only in critical areas, they naturally breathe, wick moisture and resist odors.",#254471,72% merino wool/26% nylon/2% LYCRA spandex
